checkin_ID,business_id,weekday,hour,checkins
39,fRRgBZGxQ-BeAlJTS4JaWw,Sun,0:00,1
40,9dIelLhFGhk49JVW1AHD7Q,Sat,14:00,1
41,vq0Q7likvM-u4JngGXOvuw,Sat,16:00,1
42,bZ3-_GQZkHv5YI_zzqLNWA,Thu,19:00,4
43,ctlkYnXuhSDGidQ7cWWa7Q,Mon,17:00,1
44,cisqOxAgQPjVVr9Yzk8_dw,Tue,21:00,2
45,tYYJYqbw1zasFUCqrkawKQ,Thu,4:00,1
46,JHAWuH9hYITYzpLnNAN1qQ,Sat,19:00,8
47,X6DR-xr0rQKnxl9jeZWFzw,Fri,9:00,2
48,cxVqsH6a5ro5PaWssb38kw,Thu,0:00,9
49,v5PyNX888RjnHLTY_XPVqw,Mon,6:00,9
50,rXUZNVlpWMV5ORDDSguOEQ,Fri,0:00,3
51,GTyAOrJVBKtgkACH0dOKtg,Tue,4:00,1
52,vFKgBQNQlHV9W_hhAtANeA,Tue,23:00,4
53,1wBqQ_aVL2knlHYZu1Uv0Q,Wed,16:00,1
54,SfHE6qK6dT7wxX-Ow82tRg,Mon,23:00,1
55,ITz674Os_okkPdrl90JAfw,Sun,1:00,5
56,0Myf2fOlXXNHgIuPZoOlsA,Fri,0:00,2
57,svzw9ZtZmBRSO7b49CRhyA,Thu,0:00,1
58,HoLRI8TigyvNfIHdQ4ChDA,Sun,1:00,1
59,HzEYCOPszY0BH1sqTdwa9A,Sun,5:00,4
60,u8-Q5frkXE4iutHhtNEdEQ,Tue,21:00,3
61,lhwIw2i5JNUlUBmWRAYSDg,Tue,23:00,1
62,KjV_68oLLSpqR96VnV68tw,Wed,17:00,3
63,9mI2BHTu0at_JA3RA_AEeg,Thu,17:00,1
64,mSCMWfa6akz2O76w8SAGnA,Thu,21:00,1
65,iUWou8115_0y66aJdfxfPg,Tue,20:00,8
66,mA9q_LYOicEffXDIqSjySw,Tue,5:00,2
67,jTnD_YpFIeUzhopfuvKpvA,Thu,2:00,3
68,RofkR4xO3P3-scvUH6mBZQ,Thu,18:00,1
69,k0SU-TXQO8x_aTHxzl55ig,Tue,19:00,1
70,gpQzoaeFGw3QfzVf7Dx07g,Wed,1:00,1
71,eEGViS1Zp6bkHZNxtqkqtg,Thu,23:00,1
72,w1Dt_Dsbm40IgdVERLv5sQ,Fri,2:00,1
73,fl34c5BlCWmSL_BQk-cnaQ,Thu,23:00,1
74,LV9Stq-s3H4dqaTE1Z7rwA,Tue,2:00,14
75,gYfEVIwInlMJkOcRYT5dRg,Sat,17:00,1
76,0s6zVxOeApNbEwcs-JLjNw,Wed,5:00,1
77,mc5Ha4QyQZvU7fzr-ubhhw,Fri,0:00,5
78,D8a2usm9b-j89W9IrJ_Evw,Mon,19:00,22
79,qCq3JGKYMFq4dqFjtuF7DQ,Sat,21:00,1
80,mjex91FZ2b5Khh4YDK4-9g,Sun,20:00,3
81,UwXXR1o_J-iVC5X6o2l6oA,Fri,18:00,1
82,bOE2ArZhAvQFyGJhPxcCBQ,Sat,22:00,9
83,nuhx24_a0iySSpAfQe2DAg,Sat,11:00,3
84,lvuuyYZ-CzFrg1BLdV2OPw,Sun,10:00,1
85,EzUZU_y0ooTGbboxFck1Pg,Sun,23:00,4
86,YGcpct62yl0lEGPlJrII5g,Thu,15:00,1
87,zyfPzBC4s17UWh6x8olj7w,Sun,20:00,3
88,7AGl5tfuGMgyBq0s94CccA,Sat,23:00,1
89,hxerbQpXB1hnDAaQ9uXYVA,Wed,19:00,1
90,PL3cimEUfNHlenOGSOAdJg,Thu,7:00,2
91,5PIk-MbPHYUKttvZBTq5ZQ,Tue,20:00,1
92,R5rEMuac4H_uab2BfHDwbg,Mon,18:00,2
93,FmwDfn5J7Y8Uvv_FY7iUxQ,Thu,23:00,3
94,_RiwESa2w64ls6y_5tE4CA,Thu,20:00,8
95,eKy-38nIX0vhvMb3QgECyg,Tue,16:00,4
96,feKIF1ojvMhxplLpO2Hb4w,Tue,22:00,1
97,ipLoAfc_RJ1Kg_ZaHkfpVg,Sat,12:00,2
98,D2Gv-cZ1IYVuOH8f51-cDQ,Sun,6:00,1
99,lTnRKKvGm4Xt14Bq1RPnRA,Wed,19:00,1
100,8uU3DrUjqqNsIcrrUL9lfg,Fri,3:00,1
101,ZedwJdX1jQ7Hw1CzU3VDLw,Sat,23:00,2
102,RguuXiKGwzhmFlh1WhWf9Q,Thu,3:00,1
103,Fbx8sauuSMisO8p7GvJNug,Sun,16:00,4
104,LOWn1xi9PfG2kxrUuC21nA,Fri,2:00,4
105,C5H-eZfnxBkYN40xcNbDPQ,Fri,1:00,4
106,u6XxSPpzjlniCEbLxFpkyQ,Wed,16:00,3
107,n-7xtAEqs4kO8ckDeoXQcA,Sat,23:00,1
108,1qQ5VkxiBUjbGGdpBN-PUQ,Sat,5:00,1
109,ILCRrpBIp8KTknEdgIpTxw,Mon,17:00,5
110,K0hEFxUJiwsiLOnIm4tHOw,Fri,1:00,3
111,24S-aiManGfjbb-fwwi2VQ,Wed,15:00,1
112,PhcLP3OSbFnL-_IFVKNv6A,Sat,22:00,1
113,DXWnAkolXRYXP-fearRfmw,Sun,19:00,1
114,GTF5tREki_nLpTrx2GwhFA,Sat,18:00,2
115,VaUfBrgVogbQxmMYhX4lMg,Sun,5:00,1
116,dyEYOzQmtIcP4hXvqrvtdg,Sat,10:00,2
117,bSja2oCB8VunhYpHaMj9cw,Fri,2:00,4
118,1jNteKQ2JuF6Sk1SI9X23Q,Wed,1:00,3
119,BaTAQUSjk9z7EH-aHsaVAg,Sat,8:00,1
120,t9-W24Fq8EljFz0XZXyUkQ,Thu,14:00,1
121,_DOjM_VGK-ojgjoY6esOdg,Thu,16:00,5
122,6a3n4Hd0niHndoPywSkb7Q,Sat,0:00,1
123,IebS6p5BNr8Qc3k7e9AmRQ,Sat,16:00,1
124,N6MzDoao6s68nAIW8vS9dQ,Sat,0:00,15
125,e0prCZXtHGQIKeQ_wTW3uw,Mon,14:00,2
126,PKe8Y8BfWdkj82fICEVqiQ,Sat,13:00,1
127,eV8srTcK-bgxGEaZvhhOyQ,Mon,20:00,1
128,qAN2Rqhj7I84qN6iDIoP6g,Fri,21:00,13
129,SH1I_n1X_Sl0E5M-w9Z8bw,Thu,15:00,1
130,xdS3ZpKjRmuDfffArla_-w,Sun,17:00,1
131,CgCkOG9Z5gCO3fgq-ficpQ,Sun,23:00,1
132,LHHKDRZbofrex2FA7IBhSQ,Sat,2:00,1
133,LptETLZ9aZ9rMDctypqZnw,Fri,22:00,1
134,f6DiDVwNgZuRkGKWqNEDyA,Thu,16:00,1
135,kJKT12GTi5rQ4YTkzAaIDg,Fri,2:00,3
136,pr8Mha_nXhkONtwmj9ka4g,Wed,5:00,1
137,hSNzpVnmPJLjCndBal4KFA,Tue,13:00,1
138,M0CBCEY1UFX0JCRzKZ9ujw,Fri,2:00,1
139,PbOnLu9ZVqG88oVem8_khA,Mon,22:00,1
140,ql866DFvigQCQvhWM_iJtg,Mon,20:00,1
141,olUn0OGXYuppoFzzdY6KSQ,Fri,2:00,1
142,mcC1MqX2bhvTv4pEuLdlpw,Sun,14:00,1
143,SzZXyEAWLkiVfK8I9oltKw,Thu,0:00,1
144,1cLXGXThDYZ5WK_KpBLtkw,Tue,21:00,1
145,Q9vcbIn-DGht360D3F78Kg,Tue,8:00,7
146,JpyHiBZtQel1b0OuvRz_pw,Wed,16:00,1
147,yj_JS20gPAeJGOlC9U_W6Q,Thu,12:00,1
148,eva56motCJcevOwKzyQO1g,Wed,0:00,6
149,LNsZJP6jZ11e0tDljOLPiQ,Thu,18:00,18
150,zhqurYCKYSCZmIEtus1Mzw,Wed,19:00,1
151,xu3cVLDeZ3RLJFh-IY5DGw,Sun,22:00,1
152,bZgfnQtLXly82_XmLBqOwQ,Thu,14:00,2
153,ryG0kC_7fmBMrl-g2NFa2A,Mon,18:00,1
154,dpoRtBwG02ETFm6gml9Pjg,Wed,23:00,2
155,xedxfb3rfEmXDE0BczcCBA,Fri,13:00,94
156,OWFHCOVbDgwSj71CVbEi5g,Sat,15:00,1
157,zBJBfPcLFJTz5LAPQIio6g,Tue,23:00,2
158,UVqqsfogFwG_llByAzUQQg,Tue,0:00,2
159,bIstSSkP-ideMfudlWzFSQ,Sat,0:00,1
160,u0wSFmWfg7IFJRl-WdSrNQ,Fri,0:00,1
161,geVM8YqBzb_8kXR2Z0YsCA,Sun,21:00,4
162,vRFYqRz5F41ici5IOO2_pg,Tue,4:00,2
163,ZiLOXVloAOtr9_cpQTpr8g,Wed,16:00,8
164,UCpUOtvqR-NBWBNVMzJleA,Thu,21:00,1
165,KKakXhlwwLVdDSUZ2YKTyA,Sun,19:00,1
166,Yf8PiUFYTgeN-NVSgrntPQ,Tue,20:00,8
167,Rnv_6-AKhvXjKRqUSX09gQ,Wed,4:00,1
168,KIzn2qZQ7rPJWqdK1Y6-7Q,Mon,22:00,1
169,5zDP3Y2hdh6GJL9DVbQ2KA,Tue,5:00,4
170,_a81L-AXLZ1KkupuZb_8WQ,Tue,15:00,1
171,1CYCCdlSn_L17N8nu9LEuw,Fri,0:00,1
172,2iBz8Ho8dQRDXS-HgXQLvA,Sun,20:00,3
173,LrO_Xy6lfpbTgFoJcOjY4w,Fri,21:00,3
174,PgPw-6YU3Hny5nQx2qkzUg,Fri,19:00,1
175,k9rR23TeanYDFEdqUK9Hjw,Tue,22:00,5
176,mnI_n7A8sxgOSmtgI3wzQQ,Sun,17:00,13
177,pa5zvO_vpmVWAkHoVpWKwQ,Fri,10:00,1
178,NMk5Y-QA43YoLftgiDlang,Tue,1:00,7
179,Pw_nqAc2HPCVliKDH8KwgA,Sun,1:00,3
180,wuBGY61_1-udSHUrOkM82w,Sat,23:00,2
181,UHlHCV8chJYLHA-C4YeLnA,Thu,0:00,2
182,tu2d6inO3V7OG12kr-4kKg,Tue,23:00,3
183,ocfRQyIe2NizLLoYmdK1Xg,Fri,3:00,1
184,5PYA-uKDRayqQS93YC7iuw,Thu,22:00,1
185,uxSL4FHWiO-fr2iae_d3Bw,Sun,1:00,17
186,1epnf9_h9FzURMd7SuIGvg,Mon,22:00,1
187,dqNZCXcJ5S6KYXGbIgVW1g,Wed,21:00,1
188,OsuBqr2L0-5W8LGAsg-p8g,Thu,0:00,1
189,gstBFLEnPJMV4YmktyfFig,Fri,20:00,1
190,awbcsO33ZZFBlA-LLAjysA,Fri,2:00,1
191,TkvzXqOKLqVTCrHG5GSEuQ,Sun,22:00,4
192,3FlWR_osNPb8dcqLgHebHw,Wed,1:00,6
193,AfBmTieD9rNsas2VLMy-EQ,Sat,10:00,1
194,v_eEKWfbJ6g8IgN71FVDRQ,Mon,23:00,2
195,U8v1McvPKJsNX2CZPfJO6w,Wed,18:00,1
196,qA0SlNp1fVtMuB51okYhIw,Wed,17:00,6
197,JCdEeoMxmY-kBgIrjbvwRw,Sun,20:00,3
198,U3hzEfg9PNHIudiTEN9g9w,Sun,18:00,1
199,7cCPL6NJPrOUlxjabpmZjQ,Sun,22:00,1
200,gvXwV7bGB_qWuHS05x1FAg,Wed,14:00,1
201,OY0-hYJ2q6WiAqhYnCZZ0w,Sun,21:00,73
202,WVE-lERF7aAcTg_gBbyF3Q,Sun,19:00,3
203,l7FwPwHbfVXx6QNTPotXlw,Tue,9:00,1
204,KnaluGhLTix6rLTE4F3svQ,Thu,21:00,1
205,LGEIsxeJQATo9J1IA-TEdA,Tue,4:00,1
206,X_zo7fvTFM7hF-OKzlVyAw,Thu,19:00,1
207,Ajw9oYhxVBWn0n4bmvigCQ,Tue,21:00,1
208,TpPM7S3NH0K8ZjOPnrW27w,Wed,18:00,1
209,QsCsoJb8-ZfjTf0jn72a0Q,Tue,1:00,5
210,sM5nIihcCZ1jrNuEewzE_g,Sat,15:00,1
211,4l1cmNrXBOLVUJR29MDp3A,Fri,1:00,2
212,DhmueVC8937dzgwl6Q6iDg,Thu,0:00,1
213,ePCfBhSByCrKMxvKcimzNw,Fri,21:00,1
214,kQwmLb0IWGTkay3_DuSNfw,Fri,1:00,11
215,oXL7Jm7N_dUMKV4Oe-C1lA,Mon,4:00,2
216,h1-mlrPVWoq07jMXs4Puhg,Fri,2:00,1
217,AomYFifwEqcl6ySvj-pl7A,Tue,20:00,1
218,vw4n8QbM0600MNsyauulHw,Thu,19:00,1
219,ty5KQYqYRxwXDG_e4pz-4w,Sun,3:00,86
220,mVTpWeqWiuJKVOT2p8d4aA,Mon,5:00,1
221,UMajfIo3ahpvs6tjoWH-xQ,Tue,22:00,1
222,in3zjiaLpNzr9G3K35gAJQ,Tue,1:00,3
223,RfsMUrGUJdrpfrU54rmEsQ,Wed,23:00,8
224,lx9260LHAie2bRGWjLAZ4w,Tue,20:00,4
225,fXhChaw2jPpq2QItLSfVCg,Sat,23:00,1
226,L2W0QLXIIR5MEmhQwZk-iA,Sun,2:00,5
227,9bdVAp-1LlkEKn2eegvCzw,Thu,17:00,2
228,_M9XxtEFXnHwdh8tMC2gNw,Fri,16:00,2
229,NDs6xlZesy9xZFt2Lio6XQ,Fri,0:00,3
230,7pgmsGEqV7yawGM4b4fRrw,Fri,4:00,5
231,fNil19SUfPAPnLQrYnFrGQ,Mon,14:00,1
232,w5LUtmw4G1KD7qAntqGd9w,Sun,4:00,3
233,smLixrIH_iYRQR7_AY8Y8w,Thu,1:00,4
234,zr2wA55AskfBJxrvUeDZRA,Fri,0:00,5
235,sBEbW0c3f2VzzXfbnIwu9g,Tue,20:00,1
236,q7aNE9a3W_goA_gqCiEeuA,Wed,0:00,1
237,jQsNFOzDpxPmOurSWCg1vQ,Fri,18:00,2
238,v4YmJDtKzG2Dlh-vGB241w,Wed,4:00,1
239,uuaH1UNcqcV-alT6nh42WA,Mon,2:00,13
240,RptKfUYgRD14EaX0x8LVoQ,Wed,22:00,2
241,-7d3UqQYYcBxbDH2do86sg,Sat,18:00,1
242,Ava9H-t4scVmP7u_onh7pg,Sat,18:00,9
243,ThCqEavXwVOQu7t5LsITdw,Tue,19:00,1
244,z7ns1g4S82kaBdIAC_RMRw,Sun,18:00,1
245,qztZIyt2BMSKfX052OgKXQ,Thu,16:00,4
246,3oMcNguqRNMxsb_j0Vdqsw,Tue,17:00,1
247,RoqTsoPi_uQORGiiCfZDTA,Sat,8:00,1
248,RCxgxuzyqiUbgomawkEcJQ,Sun,1:00,3
249,xZWR64QVnBISDewFG54BQA,Sun,7:00,1
250,gnIFtc9y-4aRSQCI3gdcNw,Fri,19:00,1
251,3ZNKTN4QC5Evf7JYFhWvww,Wed,4:00,1
252,TzRK4L5ZpZv71cArMmU5XQ,Mon,0:00,3
253,lHYiCS-y8AFjUitv6MGpxg,Wed,17:00,9
254,hSU3MbB9Yu8MlybxfmABeg,Wed,23:00,4
255,b2UTiUd5aX8CukkZjfphHQ,Sun,1:00,2
256,vn5yQu79uqoPByPfL_U21g,Sat,18:00,2
257,7nDQ_RZaUZ7dCfaan9zYAQ,Tue,14:00,5
258,n5jTCFF6LqNIAz6Jx5-3tw,Tue,20:00,10
259,SvW3WsatQWvR8c1iwAD_QA,Fri,4:00,1
260,E9OP8TODswMcmTEGXE1C_g,Sun,4:00,2
261,SBzKM6kKd717o0puLUf96w,Sun,1:00,1
262,UYZ_LzFRuWTv__VsXUXhsg,Sat,1:00,5
263,MX5LoEtx8ljYGc8ByhE5wg,Sun,3:00,7
264,AWXVSi7uhkNmG8xIH0bTYQ,Sun,19:00,3
265,VgSF_jQ8St7A2DhdafRDCQ,Tue,8:00,1
266,fMdfTMXQBioNlfcZsD1gOw,Sun,23:00,5
267,Q4A3lotSP4AzYwPZPbouKw,Thu,10:00,1
268,Efux3svINevTmmaRCQRJzA,Sun,23:00,3
269,UCTWQZEMPpXY8Nocv-C0Kg,Sun,8:00,1
270,l_4oSCuQ6AeMtNK5185xAA,Thu,21:00,4
271,pv4zBiL4VmA4L80VDjAFyA,Thu,23:00,1
272,QxoEkFbKsmpPrzPpWGfJgg,Sat,3:00,1
273,IRnQNbsjgVjW28YYiZcJJA,Fri,6:00,1
274,C0yiSrxaTMthwS8PzEow1Q,Sat,5:00,16
275,N5-LXC01O_hBWUz_lBundQ,Sat,12:00,2
276,MiUrif_vYOuITF4ALf7WHA,Sat,11:00,5
277,QuybD_bJcAB2CHcpTfREYg,Sun,22:00,1
278,94kQ2TM8Wn85jbmTeG2fbQ,Sun,5:00,3
279,3FzZzTdE4a1u0dmoenlaKQ,Thu,19:00,1
280,j-6MgWWlotFZAQ23LZrTPQ,Sun,23:00,2
281,4ubI8q_3q4CKP7HOYRcNMg,Wed,0:00,1
282,YLwXQbMN-4NvUs_U8brP-w,Fri,19:00,2
283,gxfvv12xZo81YcndEusSLQ,Wed,13:00,1
284,qTyDB6H9Un3PJD63vlk_SA,Sat,22:00,1
285,in3zjiaLpNzr9G3K35gAJQ,Sat,0:00,1
286,1PpmlyzOiL_DYh0Ty4VC6A,Wed,20:00,10
287,Wy6cDcSkd_rDQuZG-2YImg,Wed,12:00,1
288,VZVbRlvadHuMiVcETbVAOQ,Wed,16:00,14
289,kEMpilz3qX74_8q7f-5_rA,Tue,21:00,2
290,UIOxNM0_61TH1A9UjMwM8g,Thu,13:00,1
291,LIerawmC2qYPY5P3M-I7NA,Fri,19:00,2
292,QoVvn52JGiLG4vHcDW_JBw,Thu,0:00,7
293,GwKq3kjkFXhbBMAwe4H3rg,Sat,23:00,1
294,JWmWqa5qkrxKM3M29kPNHw,Thu,23:00,1
295,vQKYm1PZLTT248b36RiCBg,Fri,23:00,1
296,Rx85NUdD6MhrgKxHr05NlQ,Sun,20:00,1
297,PLVJCN2p1MIkeDzIbAx9kA,Thu,7:00,2
298,AoKRsxts46M2bCIqBukirg,Sun,19:00,1
299,F-AYOq1xIY2u_qmWUG5VBw,Thu,4:00,1
300,-8ZiMXZReeTD3kwEvS0Lww,Wed,1:00,4
301,pAQwza9U8OLY65Q73pAnxQ,Fri,19:00,3
302,m-cg3stOStMAFEV9-8qnVw,Wed,12:00,1
303,gkeGCryFC7z2vlFSDdKH0g,Tue,19:00,1
304,msPD9PRi9jdoO7xYVs8JhA,Fri,16:00,2
305,06lCNuSrCnaU6eq0EV4PYg,Wed,7:00,1
306,dJlSoyAxwiBVfR2fxO8hGA,Sun,23:00,1
307,vlasrbxwtv21qF6CgEgrfw,Fri,16:00,1
308,5QDTsIi8SaRIw-U034D3FA,Wed,21:00,2
309,IoBSjpZj6cXNz1ZNhnC71A,Wed,23:00,2
310,2j4BMbJ_lun5EJVSVyxb3w,Mon,16:00,1
311,fRa7CBtfVWJmgWmAlSFkjQ,Thu,0:00,2
312,JSd5CfN1nlokB1tQCc4d4Q,Wed,19:00,1
313,6PwKC0dqP9uI85FEP86iPQ,Wed,0:00,4
314,v1CqVYb0lEBWnT089AUnhA,Tue,23:00,2
315,YYE0C8FeDpB6zqB0kSEh7w,Tue,1:00,6
316,cz1rt787SUMvCDq1tRpHrw,Sat,0:00,2
317,YYzHvjD16a8Vn6AeaWBKJg,Fri,18:00,6
318,kf5vUoZTGedgydqce2e08g,Wed,18:00,1
319,XwPDiSASKZLpMgdO5tTyEA,Mon,21:00,1
320,Lh5qnT2m2b4lvyYiMGMDkg,Sat,23:00,8
321,NlFrEZ6Y40YCE5pDOMtKqg,Thu,17:00,1
322,glVCZzuFSnf24UGYsOl2Vw,Mon,10:00,4
323,1W_m2D09oRKRIqKYHgKFbQ,Sat,15:00,6
324,Qy_tDaVTWlS14fEglzo1Tg,Tue,2:00,9
325,CY3N_T_35gqOXkwQbSeSTA,Mon,22:00,1
326,RPwpW3o1D7LBkEFG7_B4Kw,Mon,19:00,1
327,sac8XR9yH0_OMN2BWV0Rzg,Sun,0:00,1
328,DKdMzfxonW35AzMw99l1-g,Thu,21:00,1
329,qsT1WxSp3XO76f9HZwVMnA,Fri,2:00,3
330,su6PPlJWHlDv1r_fu4f5ZQ,Sat,23:00,4
331,wQ4-LKNd-HX6GsbmekTbbQ,Sat,21:00,4
332,7fxebHYUwIF6CakxSr70iQ,Fri,21:00,5
333,EbJpTgeu_RJGoXv-0aDF6A,Sat,2:00,3
334,hb96ToDVKWQkAj5h-UB5Ow,Thu,4:00,1
335,0gL8wMw_fNaWvNIvBnBfiw,Sat,14:00,1
336,92w6x-17VvWMSns7vYVopg,Sat,20:00,1
337,ckZpmBT3Kng5pYhC1hkqOw,Thu,2:00,3
338,wZj7Z_cvC_14fE885TIqoA,Sat,3:00,4
339,DG8KlNP7ArYesQb2AGUHng,Sat,3:00,4
340,X3qrbOkhdCjm0NTBX7T80Q,Wed,19:00,21
341,cFlBjeDopg_FNHoPe9NpNg,Sun,0:00,2
342,j_prxgHnMvuRdrGjAI9qXQ,Mon,4:00,3
343,5bYJ0RzgTKWsQgQ1mfW6bw,Wed,15:00,1
344,EdY6q0CO2mlATpoTFkvHAw,Thu,3:00,9
345,cB7FhpOwFCn380G6WGpJzw,Fri,19:00,1
346,Rcawf6aCHdLZe7mTLxlcLQ,Mon,13:00,3
347,oXlAdB56cB0wTDrSf57SdQ,Tue,15:00,5
348,iAuOpYDfOTuzQ6OPpEiGwA,Sun,20:00,14
349,cy9bWd0tufGp-xkA8CIHIQ,Sat,19:00,1
350,vIiu_h9763IVaT37VDKqNw,Sun,17:00,1
351,loVzdXa2y222XwfzlBc5mQ,Wed,6:00,3
352,IbWfINxjH4IwNCsbqFexiA,Tue,19:00,2
353,CfYVBU9ANdjp4L5J2HV0LQ,Fri,23:00,1
354,hRbUkwU9awUan32CD-mdHA,Fri,17:00,6
355,kgSRKjLYFO-sJgqGtTvu8Q,Fri,19:00,1
356,4EfiNcKSsafogIhAjwv0gg,Sat,4:00,2
357,0lNgC2KZbkIUGve4PJwn3A,Sat,20:00,11
358,U0UnBjz9DugW2qRZputKBg,Thu,19:00,11
359,5A_sjC9ULLt4UkDNtr9dkw,Wed,17:00,7
360,epSztdmhWDYl2avl9WksOA,Tue,13:00,1
361,c4T9UHkGgd0p10O0J1OdYg,Sun,0:00,1
362,fLpzBjIoQrCYaA7svKiJ9Q,Tue,20:00,2
363,-7PX_FOoCwktlunImRyZdg,Tue,22:00,2
364,bBdBNFFyIVUwY-L3kqa3zg,Thu,18:00,2
365,apdb7MGnmnx6nGWBJ0ch_g,Wed,1:00,15
366,F2Ic0wqZkWz2cSwSWkJ5mA,Wed,22:00,1
367,P5BBNzZyMVoeToNsrSkrHA,Sun,3:00,3
368,TJ5BtIW8h_wbAJ-vARbgZw,Sat,2:00,1
369,ACRXKq6Ngtktnvf6rdcGwQ,Wed,20:00,1
370,fPIA5EBTFDSvdasd6UCiTg,Sat,18:00,1
371,1ZhZUzFbbt1gGXDEW3JaBw,Wed,4:00,2
372,wQ7He_M4aekw7YCEgvWk7w,Thu,23:00,2
373,LmBZ-QnIg3Yh8FsYtrK21Q,Fri,4:00,1
374,JCsrQFqfGQIq5SzYUKdVXw,Sat,23:00,1
375,uO-jz7dBD1pzu17V_RIVLw,Sun,23:00,12
376,n5boo_3RYE20wWnvH8EQ1A,Sat,19:00,1
377,ewEDv_q-K0fV0FepkHB8sA,Sat,1:00,15
378,xhPdBbduivnHYTnoM0K1Bg,Thu,22:00,2
379,cJF_93-5f5IflEFTlN4Viw,Fri,23:00,1
380,a9TWjF4pOL7qhuDOxBO7VA,Sun,4:00,1
381,Lwyv8yLPuSDX7_MWGIQWHg,Sun,3:00,1
382,jmRm2wfniXivveq4yI_ADw,Sun,3:00,3
383,LRrZH8y-K4wA9eLzwbi76g,Sun,0:00,1
384,K0j_Znzin0jShXVnpvW86A,Sat,17:00,1
385,U8fMRMWe5W3ulHXKzXEHuA,Mon,17:00,1
386,44YFU284Z3KDEy25QyVoUw,Wed,14:00,1
387,Hb8pO9jpr4IeB6cFcVZxxA,Sat,5:00,1
388,2uLU7C6-59QKdiTaw4Bf3g,Thu,11:00,2
389,qsODUfl_07moMEwoYpVQCA,Mon,19:00,3
390,05qUHkx1cOv9i8GFLhZqoQ,Mon,19:00,2
391,p9v9Sl2g_ibaajWvO0NjkQ,Sat,0:00,61
392,Du5cgsflWQFYdUUlWMuVGg,Thu,19:00,1
393,0EnXIr4UQTemA0R2hlyR8g,Thu,22:00,3
394,RC4oyPNX3FVTCfxsDeJI6A,Thu,20:00,4
395,WZIJMB9FWI7jSBtBlKOh_w,Wed,2:00,1
396,SWw2N_VhHIdgQC2Iwd26YA,Sat,21:00,2
397,DQRhUU56vjhAJW0ZF1LLcg,Sat,2:00,7
398,VKmt_G2KSkAAFLRWyiGK2w,Sun,21:00,1
399,gstmQyich5ToZPBNhSthmw,Fri,22:00,1
400,4k2o2LNXm9ibZ1lXCV80Ug,Wed,14:00,1
401,ixpTeFwGnEA-KUWUuNV_Fg,Fri,19:00,12
402,vZ1q6CQFlW2LQSSnJhwpFQ,Fri,5:00,10
403,TYEQ38ONpmYMYv378IByhw,Wed,23:00,3
404,ASJnzKDBspQLeDhWNxZURg,Sun,18:00,1
405,ZRFDz1A1ZRaigJGgXPjDDg,Sat,19:00,1
406,wERcL1KznuTgfltSKQt_jg,Sun,22:00,25
